objectid,title,creator,model_creator,software,equipment,date,time_period_name,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
item001,Venus Medici,Unknown,Geoffrey Marchal; Zackary Hegarty; Abi Rolfson,,,-0100/0000,Hellenistic Greece,Developed as part of the INFO-I 587 Introduction to Virtual Heritage course at IU. Reconstruction of the Medici Venus.,,"Rome, Italy; Florence, Italy",41.892112,12.496921,"Sculpture, The Uffizi Gallery",,InteractiveResource;3DModel,text/html,,"Physical object held by The Royal Cast Collection (Copenhagen, Denmark). - Original digital model by Geoffrey Marchal, https://sketchfab.com/3d-models/venus-medici-708a4166439c45d799f4eaa40d0db70e - Digital changes by Zackary Hegarty (i.e., detail and sculpting of the head, third-leg). - CC BY 4.0 License",https://creativecommons.org/licenses/by/4.0/,sketchfab_model,https://sketchfab.com/models/0edab32561014f8aa492c89042be18cf/embed,,objects/thumbs/item-001-th.jpg,"Full-body sculpture of the Roman goddess Venus, standing in the pudica pose",
item002,Caledius,Unknown,Umair Malik,Lightroom; Photoscan; Meshmixer; ZBrush; Photoshop; Meshlab,Sony α6000,0100/0200,Imperial Rome,"Bust sculpture of a Roman child, made of italian marble",,"Florence, Italy",43.767784,11.255312,"Sculpture, The Uffizi Gallery",,InteractiveResource;3DModel,text/html,,Copyright 2017 – Ministero dei Beni e delle Attivita’ Culturali e del Turismo – Gallerie degli Uffizi – Tutti i diritti riservati. All rights reserved. Permission for use in this collection given by the Virtual World Heritage Lab at Indiana University (IU) Bloomington. This collection is an academic project within IU.,,sketchfab_model,https://sketchfab.com/models/fd737c970c2e43419eabaa5da3173166/embed,,objects/thumbs/item-002-th.jpg,Bust sculpture of an ancient Roman child,
item003,Daphnis,Unknown,Davide Angheleddu,Metashape; Meshmixer,Sony ILCE 6500,,,Full-body parian marble statue of a young male figure reclining and holding an instrument-like object,,"Florence, Italy",43.767784,11.255312,"Sculpture, The Uffizi Gallery",,InteractiveResource;3DModel,text/html,,Copyright 2017 – Ministero dei Beni e delle Attivita’ Culturali e del Turismo – Gallerie degli Uffizi – Tutti i diritti riservati. All rights reserved. Permission for use in this collection given by the Virtual World Heritage Lab at Indiana University (IU) Bloomington. This collection is an academic project within IU.,,sketchfab_model,https://sketchfab.com/models/fafdf19a343740cc8cfe6f95cd887327/embed,,objects/thumbs/item-003-th.jpg,Full-body statue of a young male figure reclining and holding an instrument-like object with both hands,
item004,Cupids with Weapons,Unknown,Matthew Brennan,RealityCapture; ZBrush,Nikon D810,0100/0150,Imperial Rome,"Sarcophagus sculpture made of Greek white marble, depicting six cupids. Some are holding weapons, and two in the center hold a wreath.",,"Florence, Italy",43.767784,11.255312,"Sculpture, The Uffizi Gallery",,InteractiveResource;3DModel,text/html,,Copyright 2017 – Ministero dei Beni e delle Attivita’ Culturali e del Turismo – Gallerie degli Uffizi – Tutti i diritti riservati. All rights reserved. Permission for use in this collection given by the Virtual World Heritage Lab at Indiana University (IU) Bloomington. This collection is an academic project within IU.,,sketchfab_model,https://sketchfab.com/models/e64e81afb0674c12852664bc9bf5a1fb/embed,,objects/thumbs/item-004-th.jpg,"Sarcophagus sculpture depicting six cupids, some holding weapons, and two in the center holding up a wreath",
item005,Philosopher Sarcophagus,Unknown,Whitney Johnson; Matthew Brennan,RealityCapture; ZBrush,Nikon D810; Sony α6000,,,"Marble sarcophagus with sculpted paws supporting the front half. Carved into the front face are five figures (two female, three male), all appearing to hold a scroll in one hand and gesturing with the other.",,"Florence, Italy",43.767784,11.255312,"Sculpture, The Uffizi Gallery",,InteractiveResource;3DModel,text/html,,Copyright 2017 – Ministero dei Beni e delle Attivita’ Culturali e del Turismo – Gallerie degli Uffizi – Tutti i diritti riservati. All rights reserved. Permission for use in this collection given by the Virtual World Heritage Lab at Indiana University (IU) Bloomington. This collection is an academic project within IU.,,sketchfab_model,https://sketchfab.com/models/f60c17b7036546a9a6d6c705593c57f0/embed,,objects/thumbs/item-005-th.jpg,"Marble sarcophagus with sculpted paws supporting the front half. Carved into the front face are five figures (two female, three male), all appearing to hold a scroll in one hand and gesturing with the other.",
item006,Lucius Caesar,Unknown,Umair Malik,Lightroom; Photoscan; Meshmixer; ZBrush; Photoshop; Meshlab,Sony α6000,0130/0170,Imperial Rome,"Apuano Marble bust of a man with a lean face, mustache, and beard. The man, Lucius Aelius Caesar, wears a breastplate with Medusa's head featured on it.",,"Florence, Italy",43.767784,11.255312,"Sculpture, The Uffizi Gallery",,InteractiveResource;3DModel,text/html,,Copyright 2017 – Ministero dei Beni e delle Attivita’ Culturali e del Turismo – Gallerie degli Uffizi – Tutti i diritti riservati. All rights reserved. Permission for use in this collection given by the Virtual World Heritage Lab at Indiana University (IU) Bloomington. This collection is an academic project within IU.,,sketchfab_model,https://sketchfab.com/models/f19b179ac20841619d27c0a94f5f9333/embed,,objects/thumbs/item-006-th.jpg,"Marble bust of a man with a lean face, mustache, and beard. The man, Lucius Aelius Caesar, wears a breastplate with Medusa's head featured on it.",
item007,Laocoon Statue Group,Athanadoros; Hagesander; Polydoros,Bernd Breuckmann; Mohamed Abdelaziz; Kacie Alaga; Chad Keller; David Koller; Lorenz Wurmser,,Breuckmann SmartScan,-0040/-0020,Hellenistic Greece,"Marble sculpture depicting the myth of Laocoon, a Trojan priest of Apollo. As divine punishment for warning the Trojans about accepting the Greeks' wooden horse, he and his sons were killed by flesh-eating snakes.",,"Rome, Italy",41.8933,12.4951,"Museo Pio-Clementino, Vatican Museums",,InteractiveResource;3DModel,text/html,,Copyright 2010- Vatican Museums. Permission for use in this collection given by the Virtual World Heritage Lab at Indiana University (IU) Bloomington. This collection is an academic project within IU.,,sketchfab_model,https://sketchfab.com/models/7677bd03a7cc4245955807a0980fb842/embed,,objects/thumbs/item-007-th.jpg,"Marble sculpture depicting the myth of Laocoon, a Trojan priest of Apollo. The sculpture shows Laocoon, a mature, bearded man, in between his two young sons as the three of them struggle against two large snakes.",
